depths	NGAM
14.95	29.2004016
14.96	26.81317461
14.97	26.33536792
14.98	25.99394839
14.99	25.03923824
15	25.03923824
15.01	24.22001203
15.02	23.06026952
15.03	21.62775268
15.04	20.94581686
15.05	22.10555936
15.06	22.58246283
15.07	23.06026952
15.08	22.58246283
15.09	20.39936497
15.1	21.35497835
15.11	19.44465482
15.12	18.96684813
15.13	19.44465482
15.14	19.10323529
15.15	17.67071846
15.16	19.10323529
15.17	19.58104198
15.18	20.6721393
15.19	21.14994599
15.2	22.58246283
15.21	22.58246283
15.22	21.90052701
15.23	22.37833369
15.24	21.90052701
15.25	23.81085053
15.26	24.76646391
15.27	26.19898075
15.28	27.63149759
15.29	28.10930428
15.3	28.10930428
15.31	28.92762727
15.32	29.40543396
15.33	27.97291712
15.34	26.53949705
15.35	25.78981926
15.36	25.78981926
15.37	24.3563992
15.38	25.78981926
15.39	26.26672272
15.4	25.31201257
15.41	23.9472377
15.42	21.55910748
15.43	22.03691417
15.44	21.08220402
15.45	22.03691417
15.46	22.78749519
15.47	25.65252887
15.48	23.74220534
15.49	24.22001203
15.5	27.08594893
15.51	27.5628524
15.52	27.76788476
15.53	27.76788476
15.54	28.72349814
15.55	27.76788476
15.56	26.88091658
15.57	27.83652995
15.58	29.67820829
15.59	31.58853182
15.6	31.79356418
15.61	30.36014411
15.62	29.88324065
15.63	28.65485294
15.64	26.40310989
15.65	29.74685348
15.66	29.2690468
15.67	26.88091658
15.68	27.08594894
15.69	26.88091658
15.7	25.92620643
15.71	25.92620642
15.72	25.92620642
15.73	25.37975454
15.74	23.9472377
15.75	22.03691417
15.76	20.60439733
15.77	21.83188181
15.78	22.3096885
15.79	20.46801017
15.8	20.94581685
15.81	22.24194653
15.82	21.76413984
15.83	21.76413984
15.84	22.37833369
15.85	23.12891471
15.86	23.12891471
15.87	25.85756123
15.88	25.37975454
15.89	24.90285108
15.9	26.8131746
15.91	27.29007807
15.92	27.76788476
15.93	28.04065909
15.94	26.13033556
15.95	26.13033556
15.96	27.97291712
15.97	27.97291712
15.98	26.06259359
15.99	25.10698021
16	25.10698021
16.01	25.44839974
16.02	25.92620642
16.03	25.44839974
16.04	22.71885
16.05	22.85614038
16.06	23.81085053
16.07	23.81085054
16.08	24.76646391
16.09	24.76646391
16.1	24.0158829
16.11	27.35872326
16.12	27.35872327
16.13	27.35872327
16.14	29.2004016
16.15	30.15601498
16.16	29.67820829
16.17	30.63382166
16.18	30.8379508
16.19	30.52001516
16.2	31.74749964
16.21	35.56814669
16.22	37.81988975
16.23	36.8651796
16.24	36.38737291
16.25	35.02259804
16.26	35.02259804
16.27	34.68117852
16.28	32.77085499
16.29	32.77085499
16.3	31.81614483
16.31	30.45136996
16.32	31.74749964
16.33	31.74749964
16.34	29.36027265
16.35	29.15524029
16.36	28.24569145
16.37	27.01730374
16.38	24.62917353
16.39	21.28633316
16.4	20.87717166
16.41	20.87717166
16.42	22.51472086
16.43	23.46943101
16.44	23.46943101
16.45	21.55910748
16.46	22.03691417
16.47	20.60439733
16.48	18.6940738
16.49	17.87484759
16.5	16.92013744
16.51	19.30826765
16.52	18.96684813
16.53	17.80710562
16.54	18.76181577
16.55	19.51239679
16.56	20.94581685
16.57	20.87717166
16.58	21.08220402
16.59	21.28633315
16.6	20.331623
16.61	20.6721393
16.62	20.6721393
16.63	21.42272032
16.64	23.06026952
16.65	24.01588289
16.66	24.49278636
16.67	26.40310988
16.68	24.97059305
16.69	25.5161417
